Intern_ID,Completion_Time,Feedback_Rating,Attendance,Performance_Score
INT0001,3.26,4.09,86.5,70.98
INT0002,,1.33,59.23,42.16
INT0003,5.78,,42.98,49.89
INT0004,4.28,1.43,83.16,68.49
INT0005,1.53,1.91,74.1,77.51
INT0006,2.07,2.46,86.93,97.98
INT0007,1.24,1.8,98.06,72.22
INT0008,5.86,3.38,55.83,55.62
INT0009,4.23,3.05,85.48,79.96
INT0010,5.31,2.04,61.52,65.64
INT0011,1.0,4.34,0.0,95.37
INT0012,7.0,1.92,31.05,59.55
INT0013,5.9,2.71,56.8,73.69
INT0014,1.98,1.33,65.99,68.94
INT0015,2.22,1.01,67.1,73.52
INT0016,1.84,1.0,94.98,66.79
INT0017,2.82,1.0,87.09,52.54
INT0018,,3.56,98.61,59.46
INT0019,3.54,1.0,8.47,56.65
INT0020,3.05,,26.47,58.19
INT0021,4.39,1.0,66.38,53.18
INT0022,2.24,1.8,42.26,56.06
INT0023,3.04,5.0,66.32,86.84
INT0024,3.03,1.83,83.65,56.18
INT0025,3.42,4.74,76.54,81.34
INT0026,5.49,1.0,69.27,43.09
INT0027,2.03,4.45,57.45,84.88
INT0028,4.15,3.57,51.11,78.32
INT0029,4.1,2.62,60.94,64.94
INT0030,1.69,5.0,3.33,78.86
INT0031,4.25,1.82,89.27,50.05
INT0032,1.8,5.0,55.62,86.89
INT0033,1.0,5.0,86.21,100.0
INT0034,6.45,4.38,69.28,69.46
INT0035,7.0,2.64,24.4,58.41
INT0036,5.97,2.18,90.64,55.13
INT0037,2.56,5.0,78.98,94.96
INT0038,1.96,2.97,61.79,63.74
INT0039,5.41,4.05,94.73,65.78
INT0040,3.89,3.0,52.26,41.81
INT0041,2.08,2.69,60.09,90.93
INT0042,4.09,1.0,87.6,52.86
INT0043,1.21,1.0,1.76,73.71
INT0044,6.33,2.23,64.46,52.61
INT0045,2.27,4.86,,77.14
INT0046,5.04,3.28,92.9,74.13
INT0047,3.26,1.0,65.68,56.28
INT0048,4.21,1.8,59.79,45.0
INT0049,4.7,3.83,41.66,77.46
INT0050,1.97,5.0,95.51,100.0
INT0051,7.0,3.24,52.18,57.6
INT0052,5.8,3.64,88.29,66.46
INT0053,6.81,5.0,52.53,72.34
INT0054,6.52,1.0,71.27,55.67
INT0055,4.31,4.7,87.2,64.48
INT0056,6.17,1.91,98.29,63.22
INT0057,2.01,1.79,61.46,76.85
INT0058,1.73,4.9,57.18,77.79
INT0059,1.24,2.11,6.07,89.23
INT0060,2.88,3.87,83.45,71.0
INT0061,3.19,2.83,71.9,60.83
INT0062,2.91,2.75,78.66,52.59
INT0063,6.22,4.93,4.95,66.57
INT0064,3.55,1.72,88.65,60.7
INT0065,2.59,1.0,95.99,69.42
INT0066,4.32,4.42,44.68,66.73
INT0067,2.24,1.72,64.67,78.72
INT0068,6.3,2.01,60.28,68.4
INT0069,1.92,3.81,70.79,80.42
INT0070,7.0,3.58,79.73,74.88
INT0071,5.27,5.0,71.0,71.83
INT0072,1.71,2.23,36.28,80.07
INT0073,1.36,1.54,4.77,85.98
INT0074,6.23,2.01,84.55,56.38
INT0075,5.49,2.93,63.3,84.76
INT0076,5.15,1.9,74.67,49.77
INT0077,5.77,1.0,58.26,43.04
INT0078,1.26,2.57,70.73,74.32
INT0079,,1.0,89.31,57.35
INT0080,1.58,5.0,70.64,95.12
INT0081,6.59,1.35,84.83,66.09
INT0082,4.47,4.83,75.36,70.45
INT0083,3.07,4.42,37.83,77.46
INT0084,1.24,3.79,89.81,84.33
INT0085,3.03,1.93,54.21,48.26
INT0086,3.01,4.25,76.24,73.87
INT0087,5.8,4.66,60.44,67.3
INT0088,4.43,1.67,1.95,54.52
INT0089,,3.03,75.15,70.27
INT0090,4.1,2.71,74.98,54.45
INT0091,1.59,3.49,85.35,73.5
INT0092,4.95,,52.75,53.12
INT0093,5.56,3.29,86.39,55.68
INT0094,4.52,4.19,70.48,79.87
INT0095,5.17,5.0,46.61,78.67
INT0096,3.75,2.33,78.85,68.34
INT0097,4.45,3.16,44.48,71.42
INT0098,3.59,,7.37,75.39
INT0099,1.0,1.0,8.66,81.78
INT0100,1.43,2.47,59.64,62.92
INT0101,1.33,5.0,0.32,100.0
INT0102,4.52,4.27,26.77,58.27
INT0103,3.22,4.73,65.42,85.64
INT0104,4.23,3.15,31.77,53.08
INT0105,6.42,2.81,56.64,67.79
INT0106,,1.0,56.56,55.73
INT0107,3.35,1.04,60.68,61.58
INT0108,5.27,2.05,91.43,64.25
INT0109,2.53,3.08,43.27,70.56
INT0110,1.53,1.0,72.92,62.97
INT0111,2.58,1.0,96.65,66.24
INT0112,1.81,1.0,91.54,60.9
INT0113,6.48,5.0,74.97,64.58
INT0114,5.64,4.57,85.09,56.8
INT0115,5.01,2.18,78.35,48.86
INT0116,6.38,1.0,,41.03
INT0117,5.76,1.0,66.55,36.92
INT0118,2.02,,73.1,79.76
INT0119,6.23,2.98,,29.18
INT0120,,3.82,67.87,71.09
INT0121,5.43,1.8,53.35,40.53
INT0122,6.15,1.8,97.66,50.69
INT0123,2.73,2.56,98.15,97.99
INT0124,1.71,4.67,77.79,84.48
INT0125,2.64,1.09,80.33,63.75
INT0126,3.46,4.0,59.29,80.95
INT0127,6.35,1.97,84.77,63.24
INT0128,6.49,4.0,31.43,62.25
INT0129,1.52,5.0,6.44,86.3
INT0130,4.44,1.73,83.42,73.85
INT0131,3.62,4.77,65.52,83.1
INT0132,2.43,1.0,52.49,53.85
INT0133,1.35,3.3,91.59,93.27
INT0134,3.25,3.64,65.52,65.99
INT0135,6.76,1.0,24.38,33.42
INT0136,2.95,1.0,53.74,44.75
INT0137,4.3,,42.03,52.1
INT0138,5.16,3.4,58.9,66.61
INT0139,3.2,3.07,5.95,82.65
INT0140,6.73,3.01,41.09,52.74
INT0141,6.99,1.8,90.23,43.18
INT0142,2.89,1.88,58.69,73.36
INT0143,4.32,5.0,74.64,82.74
INT0144,3.1,1.59,84.4,71.36
INT0145,2.22,2.5,82.6,83.42
INT0146,1.63,5.0,7.63,92.12
INT0147,4.43,4.94,70.85,84.51
INT0148,4.41,2.08,23.9,59.87
INT0149,1.01,2.43,74.69,95.39
INT0150,2.61,4.17,61.66,71.83
INT0151,6.7,5.0,53.89,62.35
INT0152,2.58,3.56,0.0,55.82
INT0153,1.79,,24.18,68.74
INT0154,4.12,2.81,81.65,48.83
INT0155,6.96,3.18,62.99,64.23
INT0156,2.23,1.67,59.51,70.24
INT0157,5.18,1.8,50.21,50.92
INT0158,5.27,1.0,80.68,47.99
INT0159,2.62,4.41,62.43,84.95
INT0160,4.87,5.0,36.75,70.71
INT0161,3.26,4.81,80.68,70.34
INT0162,4.69,4.26,97.29,75.15
INT0163,4.6,4.5,83.74,69.65
INT0164,4.23,1.0,89.15,62.94
INT0165,,4.46,,95.14
INT0166,6.48,1.0,63.61,43.65
INT0167,3.25,3.47,72.71,72.52
INT0168,2.34,2.18,90.36,78.81
INT0169,1.22,2.79,7.59,83.76
INT0170,4.44,4.43,92.34,66.34
INT0171,4.6,2.88,99.44,74.19
INT0172,1.0,2.36,8.86,65.59
INT0173,4.42,2.05,52.27,60.79
INT0174,2.24,1.0,57.48,58.69
INT0175,4.83,3.34,38.28,47.96
INT0176,1.82,2.86,56.55,52.66
INT0177,4.92,4.85,93.53,74.93
INT0178,2.88,2.51,51.16,62.03
INT0179,6.73,2.51,65.79,57.36
INT0180,1.78,3.71,59.23,82.34
INT0181,3.16,1.72,96.58,81.88
INT0182,1.73,3.68,63.2,83.41
INT0183,6.85,2.35,6.32,53.18
INT0184,6.51,2.3,98.62,54.43
INT0185,2.82,3.36,74.85,81.54
INT0186,4.96,1.98,61.72,57.5
INT0187,5.75,4.2,59.69,63.01
INT0188,4.76,4.0,61.15,75.25
INT0189,3.73,,85.43,59.25
INT0190,2.1,1.8,20.54,54.91
INT0191,1.48,4.32,52.57,76.8
INT0192,6.49,2.0,80.41,46.14
INT0193,5.91,1.0,82.1,39.65
INT0194,5.02,4.0,83.26,85.35
INT0195,3.09,1.0,48.22,60.99
INT0196,3.08,3.72,55.6,96.92
INT0197,,,76.68,70.12
INT0198,6.4,3.85,,62.36
INT0199,5.98,1.8,89.85,52.42
INT0200,5.29,1.0,66.87,58.03
INT0201,4.64,2.89,20.76,61.65
INT0202,1.71,3.29,,64.58
INT0203,2.06,1.22,74.38,73.71
INT0204,6.37,,57.32,44.36
INT0205,4.71,2.44,93.39,59.92
INT0206,1.12,1.0,7.29,62.56
